mmsi,start_time,end_time,is_fishing
28204768563961,2012-03-22T00:41:23Z,2012-03-22T00:53:12Z,0.0
28204768563961,2012-03-22T02:16:50Z,2012-03-22T02:34:59Z,0.0
28204768563961,2012-03-22T12:05:55Z,2012-03-22T12:28:02Z,0.0
28204768563961,2012-03-22T22:53:10Z,2012-03-22T23:23:16Z,0.0
28204768563961,2012-03-23T00:59:01Z,2012-03-23T01:02:54Z,0.0
28204768563961,2012-03-23T02:35:42Z,2012-03-23T02:50:10Z,0.0
28204768563961,2012-03-23T11:59:39Z,2012-03-23T12:03:15Z,0.0
28204768563961,2012-03-23T23:03:35Z,2012-03-23T23:11:29Z,0.0
28204768563961,2012-03-24T01:08:55Z,2012-03-24T01:31:34Z,0.0
28204768563961,2012-03-27T02:06:32Z,2012-03-27T02:18:12Z,0.0
28204768563961,2012-03-27T12:08:49Z,2012-03-27T12:48:27Z,0.0
28204768563961,2012-03-28T11:52:35Z,2012-03-28T12:05:49Z,0.0
28204768563961,2012-03-28T14:35:47Z,2012-03-28T14:50:29Z,0.0
28204768563961,2012-03-28T23:02:43Z,2012-03-28T23:05:07Z,0.0
28204768563961,2012-03-29T00:16:30Z,2012-03-29T01:15:17Z,0.0
28204768563961,2012-03-29T02:45:31Z,2012-03-29T02:52:45Z,0.0
28204768563961,2012-03-29T11:25:59Z,2012-03-29T11:35:22Z,0.0
28204768563961,2012-03-29T13:18:56Z,2012-03-29T13:27:00Z,0.0
28204768563961,2012-03-30T00:10:38Z,2012-03-30T00:29:37Z,0.0
28204768563961,2012-03-30T13:36:27Z,2012-03-30T13:41:02Z,0.0
28204768563961,2012-03-30T23:53:19Z,2012-03-31T00:01:05Z,0.0
28204768563961,2012-03-31T10:46:16Z,2012-03-31T10:58:53Z,0.0
28204768563961,2012-03-31T12:32:57Z,2012-03-31T12:36:41Z,0.0
28204768563961,2012-03-31T13:51:49Z,2012-03-31T14:03:07Z,0.0
28204768563961,2012-03-31T23:28:58Z,2012-03-31T23:38:25Z,0.0
28204768563961,2012-04-01T01:53:33Z,2012-04-01T02:02:43Z,0.0
28204768563961,2012-04-01T12:06:09Z,2012-04-01T12:11:27Z,0.0
28204768563961,2012-04-02T11:38:08Z,2012-04-02T11:57:10Z,0.0
28204768563961,2012-04-02T12:50:32Z,2012-04-02T12:59:15Z,0.0
28204768563961,2012-04-02T22:46:04Z,2012-04-02T22:59:47Z,0.0
28204768563961,2012-04-03T01:08:43Z,2012-04-03T01:17:42Z,0.0
28204768563961,2012-04-03T11:20:44Z,2012-04-03T11:54:15Z,0.0
28204768563961,2012-04-03T13:03:07Z,2012-04-03T13:15:08Z,0.0
28204768563961,2012-04-04T00:08:38Z,2012-04-04T00:18:22Z,0.0
28204768563961,2012-04-04T12:15:37Z,2012-04-04T12:55:16Z,0.0
28204768563961,2012-04-04T23:54:15Z,2012-04-05T00:03:55Z,0.0
28204768563961,2012-04-05T12:20:01Z,2012-04-05T12:57:50Z,0.0
28204768563961,2012-04-05T23:29:16Z,2012-04-05T23:32:31Z,0.0
28204768563961,2012-04-06T11:36:17Z,2012-04-06T14:13:01Z,0.0
28204768563961,2012-04-06T23:53:52Z,2012-04-07T00:05:18Z,0.0
28204768563961,2012-04-07T11:39:55Z,2012-04-07T14:25:03Z,0.0
28204768563961,2012-04-08T00:19:07Z,2012-04-08T00:53:00Z,0.0
28204768563961,2012-04-08T02:14:29Z,2012-04-08T02:34:46Z,0.0
28204768563961,2012-04-08T13:03:54Z,2012-04-08T13:10:23Z,0.0
28204768563961,2012-04-08T14:37:06Z,2012-04-08T14:44:20Z,0.0
28204768563961,2012-04-09T02:30:24Z,2012-04-09T02:43:42Z,0.0
28204768563961,2012-04-09T23:45:42Z,2012-04-09T23:58:44Z,0.0
28204768563961,2012-04-10T01:22:01Z,2012-04-10T01:35:47Z,0.0
28204768563961,2012-04-10T02:50:53Z,2012-04-10T02:54:27Z,0.0
28204768563961,2012-04-10T12:17:01Z,2012-04-10T12:31:56Z,0.0
28204768563961,2012-04-10T13:31:20Z,2012-04-10T13:41:12Z,0.0
